oracle Database name       :  FSPRD
Oracle SID                 :  FSPRD3
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  FS
 
=> Batch Numbers check.

107 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

1 row created.


Commit complete.

 
Templates executed in Date Range 01-May-2023 and 01-Mar-2024 belongs to 1995_2000 Archival Year
0 0 0 AGNGXX CUSTAGINGX_H_XX
1 1 0 APPYMTXX AP_ARC_PYM_AD_H
2 1 1 APPYMTXX AP_ARC_PYM_RC_H
3 1 2 APPYMTXX AP_ARC_PYM_TB_H
4 1 3 APPYMTXX AP_SUPPRES_H_XX
5 1 4 APPYMTXX PAYMNT_TBL_H_XX
6 1 5 APPYMTXX PYMNT_ADVC_H_XX
7 1 6 APPYMTXX WTH_TRXTBL_H_XX
8 2 0 APPYTTXX PAY_TRNSMT_H_XX
9 3 0 APVCHRXX APVCH_DSPL_H_XX
10 3 1 APVCHRXX AP_ARC_BCH_XR_H
11 3 2 APVCHRXX AP_ARC_DIST_L_H
12 3 3 APVCHRXX AP_ARC_DIST_N_H
13 3 4 APVCHRXX AP_ARC_EXP_DL_H
14 3 5 APVCHRXX AP_ARC_PYM_WT_H
15 3 6 APVCHRXX AP_ARC_PYM_XR_H
16 3 7 APVCHRXX AP_ARC_PY_MSG_H
17 3 8 APVCHRXX AP_ARC_VCHL_E_H
18 3 9 APVCHRXX AP_ARC_VCHL_M_H
19 3 10 APVCHRXX AP_ARC_VCH_AC_H
20 3 11 APVCHRXX AP_ARC_VCH_DO_H
21 3 12 APVCHRXX AP_ARC_VCH_FR_H
22 3 13 APVCHRXX AP_ARC_VCH_HP_H
23 3 14 APVCHRXX AP_ARC_VCH_LN_H
24 3 15 APVCHRXX AP_ARC_VCH_MS_H
25 3 16 APVCHRXX AP_ARC_VCH_RM_H
26 3 17 APVCHRXX AP_ARC_VCH_ST_H
27 3 18 APVCHRXX AP_ARC_VCH_TG_H
28 3 19 APVCHRXX AP_ARC_VCH_TX_H
29 3 20 APVCHRXX AP_ARC_VCH_UT_H
30 3 21 APVCHRXX AP_ARC_VCH_VB_H
31 3 22 APVCHRXX AP_ARC_VCH_VI_H
32 3 23 APVCHRXX AP_ARC_VCH_VN_H
33 3 24 APVCHRXX AP_ARC_VCH_WT_H
34 3 25 APVCHRXX AP_ARC_VOUCH_H
35 3 26 APVCHRXX DSTRPMTXRF_H_XX
36 3 27 APVCHRXX LNWTHD_UPD_H_XX
37 3 28 APVCHRXX REMRPRT_H_XX
38 3 29 APVCHRXX RVLACTG_LN_H_XX
39 3 30 APVCHRXX TSEALN_FLD_H_XX
40 3 31 APVCHRXX TSEPMT_FLD_H_XX
41 3 32 APVCHRXX TSEVCH_FLD_H_XX
42 3 33 APVCHRXX TSEVLN_FLD_H_XX
43 3 34 APVCHRXX TSE_VCHR_H_XX
44 3 35 APVCHRXX UNMTCH_TMP_H_XX
45 3 36 APVCHRXX VATXRF_VCH_H_XX
46 3 37 APVCHRXX VCHDUP_INV_H_XX
47 3 38 APVCHRXX VCHRREG_LC_H_XX
48 3 39 APVCHRXX VCHR_UPDT_H_XX
49 3 40 APVCHRXX VED_DUPINV_H_XX
50 3 41 APVCHRXX WTHD_UPDT_H_XX
51 4 0 APY18_XX APYX18_IFC_H_XX
52 5 0 APY42_XX APYX42_IFC_H_XX
53 6 0 AP_PYMNT AP_ARC_PYM_AD_H
54 6 1 AP_PYMNT AP_ARC_PYM_RC_H
55 6 2 AP_PYMNT AP_ARC_PYM_TB_H
56 6 3 AP_PYMNT AP_SUPPRES_H_XX
57 6 4 AP_PYMNT PAYMNT_TBL_H_XX
58 6 5 AP_PYMNT PYMNT_ADVC_H_XX
59 6 6 AP_PYMNT WTH_TRXTBL_H_XX
60 7 0 ARACTLST AR_ACTION_LST_H
61 8 0 ARATTDXX AR_FRMATTD_XX_H
62 9 0 ARBUR_XX AR_FORMATT_XX_H
63 9 1 ARBUR_XX AR_FORMHDR_XX_H
64 9 2 ARBUR_XX AR_FORMNAR_XX_H
65 9 3 ARBUR_XX AR_FORMTMP_XX_H
66 9 4 ARBUR_XX AR_FRMLIN1_XX_H
67 9 5 ARBUR_XX AR_FRMLIN2_XX_H
68 9 6 ARBUR_XX AR_FRMLIN3_XX_H
69 9 7 ARBUR_XX AR_FRMLIN4_XX_H
70 10 0 ARITEM AR_CCTRN_HDR_H
71 10 1 ARITEM AR_CCTRN_TBL_H
72 10 2 ARITEM AR_EE_ITACTLN_H
73 10 3 ARITEM AR_IPAC_DET_H
74 10 4 ARITEM AR_IPAC_HDR_H
75 10 5 ARITEM AR_IPAC_SGL_H
76 10 6 ARITEM AR_ITEM_DST_H
77 10 7 ARITEM AR_ITEM_H
78 10 8 ARITEM AR_ITMAGNG_XX_H
79 10 9 ARITEM AR_ITMDSP_XX_H
80 10 10 ARITEM AR_ITMNOTE_XX_H
81 10 11 ARITEM AR_ITM_ACTTAX_H
82 10 12 ARITEM AR_ITM_ACTVAT_H
83 10 13 ARITEM AR_ITM_ACTVTY_H
84 10 14 ARITEM AR_ITM_ACTXDT_H
85 11 0 ARMAR_XX AR_FORMMAR_XX_H
86 11 1 ARMAR_XX AR_FRMMAR1_XX_H
87 11 2 ARMAR_XX AR_FRMMAR2_XX_H
88 12 0 ARPEND AR_GROUP_CNTL_H
89 12 1 ARPEND AR_PEND_DST_H
90 12 2 ARPEND AR_PEND_ITM_H
91 12 3 ARPEND AR_PEND_IT_MR_H
92 12 4 ARPEND AR_PEND_TAX_H
93 12 5 ARPEND AR_PEND_TX_DT_H
94 12 6 ARPEND AR_PEND_VAT_H
95 13 0 ARPO_XX AR_POKEYS_XX_H
96 13 1 ARPO_XX AR_PO_DTL_XX_H
97 13 2 ARPO_XX AR_PO_EML_XX_H
98 13 3 ARPO_XX AR_PO_FLDS_XX_H
99 13 4 ARPO_XX AR_PO_PRNT_XX_H
100 13 5 ARPO_XX AR_PO_PRTF_XX_H
101 13 6 ARPO_XX AR_PO_SEQ_XX_H
102 13 7 ARPO_XX AR_PO_TOT_XX_H
103 13 8 ARPO_XX AR_PO_WORK_XX_H
104 13 9 ARPO_XX AR_PO_XX_H
105 13 10 ARPO_XX PO_EXTRACT_XX_H
106 13 11 ARPO_XX PO_KEY_DTA_XX_H
107 14 0 ARPYMT AR_820RMNF_XX_H
108 14 1 ARPYMT AR_820RMSG_XX_H
109 14 2 ARPYMT AR_DEP_CONTRL_H
110 14 3 ARPYMT AR_EE_DJR_ACT_H
111 14 4 ARPYMT AR_PAYMENT_H
112 14 5 ARPYMT AR_PAY_ID_CUS_H
113 14 6 ARPYMT AR_PAY_ID_ITM_H
114 14 7 ARPYMT AR_PAY_ITEM_H
115 14 8 ARPYMT AR_PAY_IT_MRL_H
116 14 9 ARPYMT AR_PAY_MIS_DS_H
117 15 0 ARRAR_XX AR_FORMRAR_XX_H
118 15 1 ARRAR_XX AR_FRMRAR1_XX_H
119 15 2 ARRAR_XX AR_FRMRARB_XX_H
120 16 0 ARSTMT AR_STMT_CUSBD_H
121 16 1 ARSTMT AR_STMT_CUSDT_H
122 16 2 ARSTMT AR_STMT_CUST_H
123 16 3 ARSTMT AR_STMT_CUS_H
124 17 0 ARTAR_XX AR_FORMTAR_XX_H
125 17 1 ARTAR_XX AR_FRMTAR1_XX_H
126 18 0 ARXRF_XX AR_FRMXREF_XX_H
127 19 0 BIADJXX BIADJHSTX_H_XX
128 20 0 BICANXX BIALLTAXX_H_XX
129 20 1 BICANXX BIHDRAR_H_XX
130 20 2 BICANXX BIHDRCRCARD_HXX
131 20 3 BICANXX BIHDRNOTE_H_XX
132 20 4 BICANXX BIHDRVAT_H_XX
133 20 5 BICANXX BIHDRX_H_XX
134 20 6 BICANXX BIHDR_H_XX
