oracle Database name       :  HRPRD
Oracle SID                 :  HRPRD4
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  HR
 
=> Batch Numbers check.

114 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

1 row created.


Commit complete.

 
Templates executed in Date Range 01-May-2023 and 01-Mar-2024 belongs to 1995_2000 Archival Year
0 0 0 ABSAPRXX EOAWSTPINST_HXX
1 0 1 ABSAPRXX EOAW_COMNTS_HXX
2 0 2 ABSAPRXX EOAW_HISCOM_HXX
3 0 3 ABSAPRXX EOAW_SUMDTL_HXX
4 0 4 ABSAPRXX EOAW_SUMM_HXX
5 0 5 ABSAPRXX EOAW_WL_HXX
6 0 6 ABSAPRXX GP_ABSSXREF_HXX
7 1 0 ABSFCSXX GP_ABS_FCST_HXX
8 2 0 ABSILGXX GP_ABSINTLG_HXX
9 3 0 ABSOVRXX GP_ABS_OVRD_HXX
10 4 0 ABSSS_XX GP_ABSSSDAT_HXX
11 4 1 ABSSS_XX GP_ABSSSSTA_HXX
12 5 0 ADJ1_XX BAL_ADJ_CHK_H
13 5 1 ADJ1_XX BAL_ADJ_DED_H
14 5 2 ADJ1_XX BAL_ADJ_ERN_H
15 5 3 ADJ1_XX BAL_ADJ_TAX_H
16 5 4 ADJ1_XX BL_ADJ_GRN_H
17 6 0 ADJ_C_XX BL_ADJ_CN_CHK_H
18 6 1 ADJ_C_XX BL_ADJ_CN_DED_H
19 6 2 ADJ_C_XX BL_ADJ_CN_ERN_H
20 6 3 ADJ_C_XX BL_ADJ_CN_TAX_H
21 7 0 BEN10_XX PSL_PAYDAT_H_XX
22 8 0 BEN2_XX HEALTH_BENFIT_H
23 8 1 BEN2_XX HEALTH_DEPDNT_H
24 9 0 BEN3_XX FSA_BENEFIT_H
25 10 0 BEN4_XX LEAVE_ACCRUAL_H
26 11 0 BEN5_XX BN_DEMG_WK_H_XX
